repo,pr,author_type,dominant_language,task_type,agent
different-ai/note-companion,367,Human,TypeScript,feat,
liam-hq/liam,2069,AI,TypeScript,feat,Devin
liam-hq/liam,2148,Human,TypeScript,feat,
liam-hq/liam,954,AI,Other,feat,Devin
liam-hq/liam,993,Human,TypeScript,feat,
liam-hq/liam,1875,AI,Other,feat,Devin
liam-hq/liam,1677,Human,TypeScript,feat,
onlook-dev/onlook,1481,AI,TypeScript,feat,Devin
onlook-dev/onlook,1232,Human,TypeScript,feat,
liam-hq/liam,1945,AI,TypeScript,feat,Devin
liam-hq/liam,2156,Human,Other,feat,
GlareDB/glaredb,3769,AI,Rust,feat,Devin
GlareDB/glaredb,3887,Human,Rust,feat,
lingodotdev/lingo.dev,706,AI,Other,fix,Devin
lingodotdev/lingo.dev,792,Human,TypeScript,fix,
novuhq/novu,8335,AI,TypeScript,feat,Devin
novuhq/novu,8327,Human,TypeScript,feat,
antiwork/gumroad,221,AI,Ruby,feat,Devin
antiwork/gumroad,111,Human,Ruby,feat,
yamadashy/repomix,560,AI,Vue,feat,Devin
yamadashy/repomix,612,Human,Other,feat,
liam-hq/liam,1916,AI,Other,fix,Devin
liam-hq/liam,2189,Human,Other,fix,
goat-sdk/goat,238,AI,Python,feat,Devin
goat-sdk/goat,312,Human,Other,feat,
onlook-dev/onlook,1373,AI,TypeScript,fix,Devin
onlook-dev/onlook,1284,Human,TypeScript,fix,
lightdash/lightdash,13224,AI,TypeScript,fix,Devin
lightdash/lightdash,13306,Human,JavaScript,fix,
antiwork/shortest,408,AI,TypeScript,feat,Devin
antiwork/shortest,407,Human,TypeScript,feat,
neondatabase/neon,11209,AI,Python,fix,Devin
neondatabase/neon,11135,Human,Other,fix,
yamadashy/repomix,602,AI,Other,feat,Devin
yamadashy/repomix,527,Human,Vue,feat,
different-ai/note-companion,338,AI,TypeScript,feat,Devin
different-ai/note-companion,362,Human,TypeScript,feat,
calcom/cal.com,21444,AI,TypeScript,feat,Devin
calcom/cal.com,21147,Human,TypeScript,feat,
calcom/cal.com,22032,AI,TypeScript,feat,Devin
calcom/cal.com,21622,Human,TypeScript,feat,
liam-hq/liam,1517,AI,TypeScript,feat,Devin
liam-hq/liam,1255,Human,TypeScript,feat,
GlareDB/glaredb,3892,AI,Rust,feat,Devin
GlareDB/glaredb,3894,Human,Rust,feat,
promptfoo/promptfoo,2709,AI,TypeScript,feat,Devin
promptfoo/promptfoo,2908,Human,TypeScript,feat,
yamadashy/repomix,568,AI,TypeScript,feat,Devin
yamadashy/repomix,534,Human,TypeScript,feat,
liam-hq/liam,1570,AI,Other,feat,Devin
liam-hq/liam,1371,Human,TypeScript,feat,
reown-com/appkit,4455,AI,TypeScript,feat,Devin
reown-com/appkit,4376,Human,Other,feat,
antiwork/gumroad,663,AI,Other,feat,Devin
antiwork/gumroad,482,Human,Ruby,feat,
lingodotdev/lingo.dev,755,AI,TypeScript,fix,Devin
lingodotdev/lingo.dev,651,Human,TypeScript,fix,
bespokelabsai/curator,321,AI,TypeScript,feat,Devin
bespokelabsai/curator,459,Human,Python,feat,
crewAIInc/crewAI,2588,AI,Python,fix,Devin
crewAIInc/crewAI,2731,Human,Python,fix,
onlook-dev/onlook,1450,AI,TypeScript,feat,Devin
onlook-dev/onlook,1124,Human,TypeScript,feat,
jina-ai/node-DeepResearch,34,AI,TypeScript,fix,Devin
jina-ai/node-DeepResearch,61,Human,TypeScript,fix,
antiwork/gumroad,419,AI,TypeScript,fix,Devin
antiwork/gumroad,300,Human,Ruby,fix,
goat-sdk/goat,228,AI,Other,feat,Devin
goat-sdk/goat,191,Human,Other,feat,
liam-hq/liam,2566,AI,Other,fix,Devin
liam-hq/liam,2050,Human,TypeScript,fix,
lingodotdev/lingo.dev,717,AI,Other,fix,Devin
lingodotdev/lingo.dev,610,Human,TypeScript,fix,
liam-hq/liam,2610,AI,Other,fix,Devin
liam-hq/liam,2113,Human,Other,fix,
different-ai/note-companion,299,AI,TypeScript,feat,Devin
different-ai/note-companion,314,Human,TypeScript,feat,
GlareDB/glaredb,3955,AI,Other,feat,Devin
GlareDB/glaredb,3899,Human,Rust,feat,
crewAIInc/crewAI,2335,AI,Python,fix,Devin
crewAIInc/crewAI,2155,Human,Python,fix,
lingodotdev/lingo.dev,931,AI,Other,fix,Devin
lingodotdev/lingo.dev,960,Human,TypeScript,fix,
crewAIInc/crewAI,2192,AI,Python,feat,Devin
crewAIInc/crewAI,2231,Human,Python,feat,
liam-hq/liam,2264,AI,TypeScript,feat,Devin
liam-hq/liam,2191,Human,TypeScript,feat,
stack-auth/stack-auth,478,AI,Other,feat,Devin
stack-auth/stack-auth,412,Human,TypeScript,feat,
crewAIInc/crewAI,2369,AI,Other,fix,Devin
crewAIInc/crewAI,2495,Human,Other,fix,
crewAIInc/crewAI,3060,AI,Python,fix,Devin
crewAIInc/crewAI,3047,Human,Other,fix,
goat-sdk/goat,218,AI,Python,feat,Devin
goat-sdk/goat,250,Human,Other,feat,
liam-hq/liam,1652,AI,Other,fix,Devin
liam-hq/liam,1422,Human,Other,fix,
pdfme/pdfme,717,AI,TypeScript,feat,Devin
pdfme/pdfme,678,Human,TypeScript,feat,
liam-hq/liam,1338,AI,Other,feat,Devin
liam-hq/liam,1039,Human,TypeScript,feat,
GlareDB/glaredb,3550,AI,Rust,feat,Devin
GlareDB/glaredb,3503,Human,Rust,feat,
liam-hq/liam,1541,AI,TypeScript,fix,Devin
liam-hq/liam,1109,Human,Other,fix,
liam-hq/liam,1957,AI,TypeScript,fix,Devin
liam-hq/liam,1696,Human,Other,fix,
GlareDB/glaredb,3886,AI,Rust,feat,Devin
GlareDB/glaredb,3767,Human,Rust,feat,
goat-sdk/goat,237,AI,Other,feat,Devin
goat-sdk/goat,243,Human,Other,feat,
goat-sdk/goat,174,AI,Other,feat,Devin
goat-sdk/goat,295,Human,Other,feat,
airbytehq/airbyte,52664,AI,Python,feat,Devin
airbytehq/airbyte,51585,Human,Python,feat,
lingodotdev/lingo.dev,759,AI,TypeScript,feat,Devin
lingodotdev/lingo.dev,778,Human,TypeScript,feat,
jina-ai/node-DeepResearch,43,AI,TypeScript,fix,Devin
jina-ai/node-DeepResearch,14,Human,TypeScript,fix,
goat-sdk/goat,204,AI,Python,feat,Devin
goat-sdk/goat,255,Human,TypeScript,feat,
elizaOS/eliza,2848,AI,Other,fix,Devin
elizaOS/eliza,3345,Human,TypeScript,fix,
goat-sdk/goat,378,AI,TypeScript,feat,Devin
goat-sdk/goat,370,Human,TypeScript,feat,
yamadashy/repomix,566,AI,TypeScript,fix,Devin
yamadashy/repomix,507,Human,TypeScript,fix,
stack-auth/stack-auth,570,AI,TypeScript,feat,Devin
stack-auth/stack-auth,566,Human,TypeScript,feat,
GlareDB/glaredb,3880,AI,Rust,feat,Devin
GlareDB/glaredb,3794,Human,Other,feat,
amantus-ai/vibetunnel,165,AI,Swift,feat,Devin
amantus-ai/vibetunnel,33,Human,Go,feat,
liam-hq/liam,1599,AI,TypeScript,feat,Devin
liam-hq/liam,1367,Human,TypeScript,feat,
calcom/cal.com,21167,AI,TypeScript,fix,Devin
calcom/cal.com,21116,Human,TypeScript,fix,
calcom/cal.com,20580,AI,TypeScript,feat,Devin
calcom/cal.com,20114,Human,TypeScript,feat,
liam-hq/liam,1854,AI,Other,feat,Devin
liam-hq/liam,1747,Human,Other,feat,
lingodotdev/lingo.dev,739,AI,TypeScript,feat,Devin
lingodotdev/lingo.dev,686,Human,Other,feat,
goat-sdk/goat,223,AI,Python,feat,Devin
goat-sdk/goat,229,Human,TypeScript,feat,
